question,answer_llm,answer_orig,document
"Is the Zoom link for the workshop shared with students, or only with the teaching team?","('The Zoom link is **only published to instructors/presenters/TAs** — not shared directly with students. Students join via **YouTube Live** and ask questions on **Slido**.', 0)","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow the live Office Hours stream if I’m a student?,"('Students should follow the Office Hours stream via **YouTube Live**. The **video URL is posted in the announcements channel on Telegram and Slack** before it begins, and you can also watch it on the **DataTalksClub YouTube Channel**.  \n\nTo ask questions, use **Slido** (the link is pinned in the live chat). Don’t post questions in the chat, since they may be missed.', 0)","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I type my questions in the live chat during Office Hours, or use something else?","('Don’t post questions in the live chat, as they may be missed if the room is active. Use Slido instead — the link is pinned in the chat when the session is live.', 0)","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I find my row on the leaderboard if I can’t see my name right away?,"('Click the **“Jump to your record on the leaderboard”** link — that will take you directly to your row.  \n\nIf you want to check your displayed name first, use **“Edit Course Profile.”**', 0)","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,"('When you set up your account, you’re automatically assigned a random display name, like “Lucid Elbakyan.” That’s why the leaderboard may show a nickname instead of your real name.\n\nYou can check or change it by clicking **“Edit Course Profile”**:\n- **First field:** your nickname/display name shown on the leaderboard\n- **Second field:** your official name for the certificate\n\nIf you want to find your entry on the leaderboard, use the **“Jump to your record on the leaderboard”** link.', 0)","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using for the course?,"('Click the **“Edit Course Profile”** button. That’s where you can see and change your display name.', 0)","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub name?","('Yes. In **Edit Course Profile**, the **first field** is your **nickname/display name**, and you can change it to your **Slack username, GitHub username, or any other nickname** you want.', 0)","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields so my certificate doesn’t use the default random name?,"('Put your **official name** in the **second field** — the one matching your identification documents (passport, national ID, driver’s license, etc.). That’s the name that will appear on your certificate and prevents the default random name from being used.\n\nThe **first field** is just your nickname/display name.', 0)","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,"('No. You can only get a certificate if you finish the course with a live cohort. The self-paced mode does not award certificates.', 0)","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, is there any way to earn the course certificate?","('No. You can only get a certificate if you finish the course with a live cohort; self-paced participants do not receive certificates.', 0)","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do certificates only count for people who finish with the live cohort?,"('Yes. You only get a certificate if you finish the course with a **live cohort**. Self-paced participation does **not** count for a certificate.', 0)","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why doesn’t the self-paced mode come with a certificate?,"(""We don't award certificates for the self-paced mode because the certificate requires peer-reviewing 3 capstones after submitting your project. That peer-review step is only possible while the course is running with a live cohort."", 0)","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer-review of the capstone project required in order to receive the certificate?,"('Yes. To get the certificate, you must participate in peer-reviewing 3 capstone projects during the live course run. Certificates are not awarded in self-paced mode because the peer-review step is required.', 0)","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,"('Yes — skipping the first homework does **not** prevent you from getting the certificate.\n\nYou need to **pass the Capstone project** to get the certificate. Homework is **not mandatory**, though it is recommended and its points count toward your leaderboard rank.', 0)","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework to receive the certificate for this course?,"('No. You do **not** have to do all the homework to receive the certificate.\n\nAccording to the course FAQ, you need to **pass the Capstone project** to get the certificate. Homework is **not mandatory**, though it is recommended.', 0)","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to get the certificate?,"('You need to pass the **Capstone project** to get the certificate.\n\nHomework is **not mandatory**. Also, certificates are only awarded if you finish the course with a **live cohort** and submit the project while submissions are still open.', 0)","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework mandatory, or is it just optional practice for the course?","('Homework is not mandatory. It’s optional practice, though it’s recommended for reinforcing concepts, and the points can affect your leaderboard rank.', 0)","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't required, does it still affect anything like my ranking or points?","('No. Homework is not mandatory, but the points you earn from it do count toward your leaderboard rank.\n\n', 0)","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing in this course?,"('If the homework title contains `[DRAFT]`, it means the homework is not ready yet.\n\nThe homework is only ready when both are true:\n\n- The homework form is open on the course management platform.\n- The homework title does not contain `[DRAFT]`.\n\nUntil then, the content can still change. Working on it in advance is at your own risk, because the final version may be different.', 0)","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is the material already finalized, or can it still change later?","('It can still change later if it’s not finalized yet. In this course, homework is only ready when:\n\n- the homework form is open on the course management platform, and\n- the homework title does **not** contain `[DRAFT]`.\n\nUntil both are true, the content can still change.', 0)","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If I start working on the homework now, could the final version be different?","('Yes — working on it in advance is at your own risk, because the final homework version can still change until the homework is ready.', 0)","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How will I know when a module is actually ready and settled?,"(""I don't know."", 0)","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to do the course work in advance, or should I wait until updates are announced?","('Working in advance is possible, but it’s at your own risk because the homework/material can still change until it’s officially ready.\n\nThe homework is ready only when:\n- the homework form is open on the course management platform, and\n- the homework title does **not** contain `[DRAFT]`.\n\nSo if you do the course work early, just be aware that updates may still happen.', 0)","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,"('Summer 2027.', 0)",Summer 2027.,bd31146b0e
Do you know when the next course session starts?,"('When will the course be offered next? **Summer 2027.**', 0)",Summer 2027.,bd31146b0e
"Will there be another run of this course, and if so, when?","('The course will be offered again in **Summer 2027**.', 0)",Summer 2027.,bd31146b0e
What's the next scheduled offering for this course?,"('Summer 2027.', 0)",Summer 2027.,bd31146b0e
Can you tell me when the course is coming back?,"(""I don't know."", 0)",Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for this class?,"('Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.\n\nOpen the lesson folders in the repo — each lesson page has the relevant videos linked at the top. If there’s any confusion, check the GitHub repo first, since it’s usually updated more reliably than the YouTube playlist.', 0)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Are the recordings or lecture videos posted somewhere I can watch them?,"(""Yes — the lecture videos are posted in the **LLM Zoomcamp GitHub repository**. Open the lesson folders there, and each lesson page has the relevant video links at the top.\n\nIf you're unsure where to start, use the GitHub repo first since it’s easier to keep updated than the YouTube playlist."", 0)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I’m looking for the videos—should I check the bookmarks or pinned links?,"('Use the **GitHub repository as the main entry point**. Open the lesson folders there—each lesson page has the relevant videos linked at the top. If you’re unsure, follow the GitHub repo first rather than bookmarks or pinned links, since it’s easier to keep updated than the YouTube playlist.', 0)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a specific YouTube channel for the course lectures?,"('Yes. The lectures/videos are linked from the **LLM Zoomcamp GitHub repository**, which is the main entry point:  \nhttps://github.com/DataTalksClub/llm-zoomcamp\n\nEach lesson folder has the relevant videos at the top. If you mean live streams/office hours, those can also be watched on the **DataTalksClub YouTube Channel**:  \nhttps://www.youtube.com/c/DataTalksClub', 0)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where are the lecture videos linked, and what should I check first?","('The lecture videos are linked at the top of each lesson page in the LLM Zoomcamp GitHub repository.\n\nWhat to check first: the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp), since it’s the main entry point and is easier to keep updated than the YouTube playlist.', 0)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,"('Your WSL2 is only allowed to use **Y.Y GiB**, not all the RAM on your PC. So even if Windows has enough memory, WSL2 may still report that the model needs more memory than is available inside WSL2.\n\nTo fix it, increase WSL2’s memory limit by creating a `.wslconfig` file in:\n\n`C:\\Users\\YourUsername\\.wslconfig`\n\nwith something like:\n\n```ini\n[wsl2]\nmemory=8GB\n```\n\nThen run:\n\n```bash\nwsl --shutdown\n```\n\nand restart WSL. You can check the new limit with `free` inside WSL.', 0)","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I increase the RAM available to WSL2 on Windows for running a model?,"('Your WSL2 may be using only part of your machine’s RAM. To give WSL2 more memory, create a `.wslconfig` file in your Windows user profile folder:\n\n`C:\\Users\\YourUsername\\.wslconfig`\n\nPut this in it:\n\n```ini\n[wsl2]\nmemory=8GB\n```\n\nThen restart WSL:\n\n```bash\nwsl --shutdown\n```\n\nAfter that, check the available memory inside WSL with:\n\n```bash\nfree\n```\n\n', 0)","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put a .wslconfig file to give WSL2 more memory?,"('Put it in your Windows user profile directory:\n\n```text\nC:\\Users\\YourUsername\\.wslconfig\n```\n\nThen add the memory setting, for example:\n\n```ini\n[wsl2]\nmemory=8GB\n```\n\n', 0)","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What do I need to write in .wslconfig to set WSL2 memory to 8GB?,"('You should write:\n\n```ini\n[wsl2]\nmemory=8GB\n```', 0)","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, how can I check if the new RAM limit is actually applied?","('Run `free` in WSL to verify the changes.', 0)","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"Why aren't we using LangChain in this course, and what should we learn first instead?","('We’re not using LangChain first because the course wants you to learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation.\n\nThe idea is to understand the fundamentals before relying on a framework, similar to learning HTML, CSS, and JavaScript before using React or Angular.', 0)","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Is there a reason the course skips LangChain for now?,"('Yes. The course skips LangChain at first so you can learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation.\n\nThe idea is to understand what frameworks automate before using them, similar to learning HTML/CSS/JavaScript before React or Angular.', 0)","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why start without a framework like LangChain when building LLM apps?,"('LangChain is a framework for building LLM-powered apps, but in this course we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.\n\nThe idea is to learn the fundamentals before using a framework, like learning HTML, CSS, and JavaScript before React or Angular. Frameworks are easier to use well once you understand what they automate.', 0)","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Should I learn the basics before using LangChain, and why?","('Yes — it’s better to learn the basics first.\n\nIn this course, the idea is to build the core pieces yourself first: prompting, retrieval, indexing, and evaluation. LangChain is a framework that automates a lot of this, and it’s easier to use it well once you understand what it’s doing under the hood.\n\nA good analogy is learning HTML, CSS, and JavaScript before React or Angular.', 0)","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the idea behind not using LangChain in the course material?,"('The idea is to learn the core RAG building blocks first by implementing them yourself: prompting, retrieval, indexing, and evaluation.\n\nSo instead of relying on LangChain right away, the course wants you to understand what the framework is automating under the hood. It’s like learning HTML, CSS, and JavaScript before using React or Angular. Once you know the basics, frameworks become much easier to use well.', 0)","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `chat.completions.create`?,"('You’re likely hitting an **OpenAI quota/credits issue**. The context says that when OpenAI returns errors like:\n\n- `OpenAI API Error: Insufficient credits`\n- `RateLimitError: Error code: 429 ... insufficient_quota`\n\nit means your OpenAI account has **no free API usage** and needs **billing credits** added.\n\nTo fix it:\n\n1. Add funds to your OpenAI account via pay-as-you-go.\n2. Make sure you’re using a model available to your account.\n3. If needed, recreate your API key after adding credits.\n\nIf you’re actually using a **non-OpenAI provider** through the OpenAI client, then `chat.completions.create` may also fail for provider-specific reasons, but for the **insufficient credits** error specifically, the cause is quota/billing.\n\n', 0)","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does the OpenAI ""Insufficient credits"" message mean in `chat.completions.create`?","('It means your OpenAI account doesn’t have enough credit to make the API call.', 0)","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
I’m seeing an OpenAI API error about credits when testing chat completions — what should I check?,"(""Check your OpenAI account quota/billing:\n\n1. Make sure you have **credits** in your OpenAI account — there is **no free API usage**.\n2. If needed, **add funds** in the billing settings (pay-as-you-go, minimum about **$5**).\n3. Verify that you’re using a **model available to your account** in `responses.create(...)`.\n4. If you just added credits, you may need to **create a new API key** and update it locally.\n\nIf you still get the 429 / insufficient quota error after that, I don't know."", 0)","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is the `OpenAI API Error: Insufficient credits` issue caused by my `chat.completions.create` call?,"('No. Based on the context, **“OpenAI API Error: Insufficient credits”** is caused by **your OpenAI account quota/credits**, not by the `chat.completions.create` call itself.\n\nThe fix is to **add credits / billing** to your OpenAI account and, if needed, use a model available to your account.', 0)","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
